name,location,bedrooms,bathrooms,property_type,price_range,url,agency,detailed_address,city,state,area,country,number_of_guests,rating,currency,price_value,period,Amazing View,Amazing pool,Beachfront,Golfing,Guest House,Island life,Jungle View,Ocean view,Pool view,Residential,Rice paddy view,Style,Surfing,Tropical,View,property_category,user_id
Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",$258 per 2 nights,https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Bukit Vista,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Uluwatu,Indonesia,4,4.42,USD,258,per 2 nights,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,Villa,7
Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3.0,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",Starting from USD 161 per night,https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Bukit Vista,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Bingin,Indonesia,6,5.0,USD,161,per night,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,Villa,20
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",4,4.0,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",USD 202 / Night,https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Bukit Vista,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Bali,Ubud,Indonesia,8,5.0,USD,202,per night,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Villa,15
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",3,4.0,"Beachfront, Villa",Starting from USD 715 per 2 nights,https://www.bukitvista.com/property/nusa-dua-seafront-villa,Bukit Vista,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",Bali,Bali,Nusa Dua,Indonesia,6,4.84,USD,715,per 2 nights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Villa,11
Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,"Amazing pool, Golfing, Pool view, Villa",Starting from USD 84 per night,https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Bukit Vista,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Balangan,Indonesia,4,4.76,USD,84,per night,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Villa,8
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.5,"Pool view, Villa",Starting from USD 118 per night,https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,4,4.72,USD,118,per night,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Villa,21
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,"Pool view, Villa",Starting from USD 165 per night,https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,4,4.72,USD,165,per night,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Villa,7
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",3,3.5,"Amazing pool, Golfing, Surfing, Tropical, Villa",Starting from USD 167 per night,https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Bukit Vista,"Jl. Pesakapan Indah No.9, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Ungasan,Indonesia,6,4.84,USD,167,per night,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,Villa,19
Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",2,2.0,Villa,Starting from USD 100 per night,https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Bukit Vista,"Tibubeneng, Kuta Utara, Badung, Bali",Bali,Bali,Canggu,Indonesia,4,4.84,USD,100,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,23
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,Jl. Umalas Klecung No.34,2,2.0,"Guest House, Villa",Starting from USD 108 per night,https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Bukit Vista,Jl. Umalas Klecung No.34,Bali,Bali,Umalas,Indonesia,4,4.57,USD,108,per night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,11
Ubud’s Verdant Hideaway w/ Pool & Garden Views,Jl. Tirta Tawar,1,1.0,Guest House,Starting from USD 34 per night,https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,Bukit Vista,Jl. Tirta Tawar,Bali,Bali,Ubud,Indonesia,2,4.84,USD,34,per night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,11
Dazzling Villa with Pool and Rooftop in Bingin,"Pecatu, South Kuta, Badung Regency, Bali",2,2.0,Villa,Starting from USD 202 per night,https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,Bukit Vista,"Pecatu, South Kuta, Badung Regency, Bali",Bali,Bali,Bingin,Indonesia,4,4.82,USD,202,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,24
Sun-Soaked 2BR Villa w/ Pool 15-Min Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2.0,Villa,Starting from USD 91 per night,https://www.bukitvista.com/property/sun-soaked-2br-villa-w-pool-15-min-ride-to-beach,Bukit Vista,Jalan Toya Ning II No.1,Bali,Bali,Canggu,Indonesia,4,4.85,USD,91,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,21
Voguish Penthouse with Rooftop Pool Near Canggu,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2.0,Villa,Starting from USD 89 per night,https://www.bukitvista.com/property/voguish-penthouse-with-rooftop-pool-near-canggu,Bukit Vista,Jl. Canggu Permai Gg. Rajawali,Bali,Bali,Canggu,Indonesia,4,4.69,USD,89,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,4
Artisanal Berawa Villa: 11 mins Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",2,2.0,Villa,Starting from USD 73 per night,https://www.bukitvista.com/property/artisanal-berawa-villa-11-mins-ride-to-beach,Bukit Vista,Jl. Abasan Gang Homey Abasan No.1,Bali,Bali,Canggu,Indonesia,4,4.84,USD,73,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,8
Ocean-View Eco Dorms at Nusa Lembongan Hilltop,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Ocean view",Starting from USD 28 per night,https://www.bukitvista.com/property/ocean-view-eco-dorms-at-nusa-lembongan-hilltop,Bukit Vista,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,2,4.69,USD,28,per night,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Guest House,24
Eco Treehouse Stay with Lembongan Sea Views,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Ocean view",Starting from USD 18 per night,https://www.bukitvista.com/property/eco-treehouse-stay-with-lembongan-sea-views,Bukit Vista,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,1,4.69,USD,18,per night,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Guest House,3
Eco-Friendly Lodge w/ Ocean View in Nusa Lembongan,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Ocean view",Starting from USD 18 per night,https://www.bukitvista.com/property/eco-friendly-lodge-w-ocean-view-in-nusa-lembongan,Bukit Vista,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,1,4.69,USD,18,per night,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Guest House,22
Breathtaking Hillside Private Cabin in Lembongan,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Ocean view",Starting from USD 30 per night,https://www.bukitvista.com/property/breathtaking-hillside-private-cabin-in-lembongan,Bukit Vista,"8C5W+2J4, Banjar Ancak, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,2,4.69,USD,30,per night,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Guest House,21
Private Ungasan Hideaway Villa with Pool Oasis,"Uluwatu st.no.km, Gg. Menesa No.8, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",1,1.0,Villa,Starting from USD 165 per night,https://www.bukitvista.com/property/private-ungasan-hideaway-villa-with-pool-oasis,Bukit Vista,"Uluwatu st.no.km, Gg. Menesa No.8, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,"Badung, Ungasan",Indonesia,2,4.93,USD,165,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,2
Sunny Tropical Luxe Villa in Ungasan with Pool,"Uluwatu st.no.km, Gg. Menesa No.8, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",2,2.0,Villa,Starting from USD 172 per night,https://www.bukitvista.com/property/sunny-tropical-luxe-villa-in-ungasan-with-pool,Bukit Vista,"Uluwatu st.no.km, Gg. Menesa No.8, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,"Badung, Ungasan",Indonesia,4,4.69,USD,172,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,24
Dreamy Haven w/ Pool | 300m from Bingin Beach,Villa Kaba by Bukit Vista,2,2.0,Villa,Starting from USD 430 per 2 nights,https://www.bukitvista.com/property/dreamy-haven-w-pool-300m-from-bingin-beach,Bukit Vista,"54V8+52M, Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Badung,Indonesia,4,4.72,USD,430,per 2 nights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,12
Ungasan Haven: 3BR Villa w/ Private Pool Retreat,Amerta Puratangi Villa by Bukit Vista,3,3.5,Villa,"Starting from USD 2,400 per month",https://www.bukitvista.com/property/ungasan-haven-3br-villa-w-private-pool-retreat,Bukit Vista,"Jl. Pura Tangi, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Ungasan,Indonesia,6,4.84,USD,2400,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,6
Retreat to Nature Jungle House Villa near Canggu,"Tabanan, Bali",2,2.0,"Jungle View, Residential, Villa",Start from $144 USD per night,https://www.bukitvista.com/property/retreat-to-nature-jungle-house-villa-near-canggu,Bukit Vista,"Tabanan, Bali",Bali,Bali,Canggu,Indonesia,4,4.69,USD,144,per night,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Villa,2
Villa by Rice Fields in Canggu,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",2,2.0,"Rice paddy view, Villa","Start from $2,200 USD per Month",https://www.bukitvista.com/property/peaceful-villa-surrounded-by-rice-fields-in-canggu,Bukit Vista,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",Bali,Bali,Canggu,Indonesia,4,4.81,USD,2200,per month,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Villa,21
Luxury & Calm Villa with pool near Nusa Dua Beach,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,Villa,Starting from USD 2000 per Month,https://www.bukitvista.com/property/secluded-2br-villa-w-pool-complex-in-nusa-dua,Bukit Vista,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Nusa Dua,Indonesia,4,4.84,USD,200,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,1
Group Getaway: Cozy Villa w/Pool Near GWK Park￼,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2.5,"Residential, Villa","Starting from USD 2,200 per month",https://www.bukitvista.com/property/modern-breezy-homey-2br-villa-with-pool-near-gwk,Bukit Vista,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Ungasan,Indonesia,4,4.84,USD,2200,per month,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Villa,12
Tranquil Kutuh Villa w/ Pool – Ideal for Groups,"Jalan Gubug Sari, Kutuh, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",3,3.0,Villa,Starting from USD 1750 per Month,https://www.bukitvista.com/property/dainty-villa-w-restful-pool-for-group-at-ungasan,Bukit Vista,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Ungasan,Indonesia,6,4.55,USD,175,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,22
Spacious New Tropical Villa w/ GWK View,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3.0,"View, Villa","Start from $3,200 USD per Month",https://www.bukitvista.com/property/spacious-new-tropical-villa-w-gwk-view,Bukit Vista,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Badung,Indonesia,6,4.84,USD,3200,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Villa,12
Clean Room in Jogja Local Authentic Holiday House,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",1,1.0,Guest House,Mulai dari Rp410.500 USD per Malam,https://www.bukitvista.com/property/clean-room-in-jogja-local-authentic-holiday-house,Bukit Vista,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,Yogyakarta,Indonesia,2,4.84,Rp,410500,per night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,25
3BR Javanese Traditional Relaxing Villa with Pool,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, 55284",3,2.5,Villa,Mulai dari Rp1.930.000 Rupiah per Malam,https://www.bukitvista.com/property/3br-javanese-traditional-relaxing-villa-with-pool,Bukit Vista,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,Yogyakarta,Indonesia,9,4.84,Rp,1930000,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,17
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",4,3.0,Villa,Mulai dari Rp1.750.000 Rupiah per Malam,https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool-2,Bukit Vista,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,Yogyakarta,Indonesia,8,4.76,Rp,1750000,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,10
Prestigious Apartment w/ Mt. Merapi View,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",1,1.0,Guest House,Mulai dari Rp810.000 Rupiah per Malam,https://www.bukitvista.com/property/prestigious-apartment-w-mt-merapi-view,Bukit Vista,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,Yogyakarta,Indonesia,2,4.81,Rp,810000,per night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,16
Stylish Rustic Cabin in Penida near Seaside Cafe,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Residential",Start from $24 per night,https://www.bukitvista.com/property/stylish-rustic-cabin-in-penida-near-seaside-cafe,Bukit Vista,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,4,4.84,USD,24,per night,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Guest House,15
Beachfront Bungalow w/ Sunset View,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",1,1.0,"Beachfront, Guest House, Residential",Start from USD $41 per night,https://www.bukitvista.com/property/beachfront-bungalow-w-sunset-view,Bukit Vista,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,4,4.6,USD,41,per night,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Guest House,15
Once in a Lifetime Hilltop Bungalow Experience,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",1,1.0,"Guest House, Residential",Start from $19 USD per night,https://www.bukitvista.com/property/once-in-a-lifetime-hilltop-bungalow-experience,Bukit Vista,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,Nusa Penida,Indonesia,4,4.84,USD,19,per night,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Guest House,19
Bright & Sunny Guesthouse with Green Lawn and Pool,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1.0,Guest House,Start from $920 USD per Month,https://www.bukitvista.com/property/sunny-cabin-with-green-lawn-for-big-group-7br,Bukit Vista,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,Bingin,Indonesia,2,4.79,USD,920,per month,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,12
Summer Vibe Stay in Bingin with Pool + Fast WIFI,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1.0,Guest House,"Start from $1,090 USD per Month",https://www.bukitvista.com/property/summer-vibe-stay-in-bingin-with-pool-fast-wifi,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,Bingin,Indonesia,2,4.84,USD,1090,per month,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,23
Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1.0,Guest House,Start from $790 USD per Month,https://www.bukitvista.com/property/laid-back-uluwatu-bungalow-w-pool-fast-wifi,Bukit Vista,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,Uluwatu,Indonesia,2,4.84,USD,790,per month,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,20
Bohemian Beachfront Surf Villa by the Bingin Beach,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",4,3.0,"Beachfront, Residential, Villa","Start from $5,590 USD per Month",https://www.bukitvista.com/property/bohemian-beachfront-surf-villa-by-bingin-beach,Bukit Vista,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Bingin,Indonesia,8,4.84,USD,5590,per month,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Villa,25
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"Kauman, Yogyakarta",4,3.0,"Residential, Style, Villa",Start from $100 USD,https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool,Bukit Vista,"Kauman, Yogyakarta",Yogyakarta,Yogyakarta,Yogyakarta,Indonesia,8,4.76,USD,100,per night,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Villa,3
Bukit Vista | Stunning 3BR Villa Near Padang Beach,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",3,3.0,Villa,"Start from $4,600 USD per Month",https://www.bukitvista.com/property/enjoy-long-stay-in-lovely-villa-by-bukit-vista,Bukit Vista,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Bali,Bali,Uluwatu,Indonesia,6,4.73,USD,4600,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,5
Quaint & Homey Balinese Villa w/ Private Pool,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2.0,"Villa, Residential","Start from $1,780 USD per Month",https://www.bukitvista.com/property/work-from-bali-in-authentic-balinese-villa-pool-by-bukit-vista,Bukit Vista,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Jimbaran,Indonesia,4,4.84,USD,1780,per month,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Villa,19
Tranquil 3BR Villa in Jimbaran with Wi-Fi + Pool,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",3,3.0,"Residential, Villa","Start from $2,570 USD per Month",https://www.bukitvista.com/property/bukit-vista-modern-architecture-villa-for-family,Bukit Vista,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,Jimbaran,Indonesia,6,4.84,USD,2570,per month,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Villa,7
Peaceful Uluwatu Cabin w/ Unspoiled Beaches Nearby,"Jalan Gunung Tengger, Pecatu, Kabupaten Badung, Bali",1,1.0,Guest House,Start from $790 USD per Month,https://www.bukitvista.com/property/clean-bright-spacious-room-for-digital-nomad-by-bukit-vista,Bukit Vista,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,Uluwatu,Indonesia,2,4.84,USD,790,per month,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Guest House,21
Lovely Private Pool Villa in Strategic Location,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",3,3.0,Villa,"Rp1,558,440 per night",https://www.bukitvista.com/property/private-pool-villa-with-harmony-sterilized,Bukit Vista,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",Bali,Bali,Canggu,Indonesia,6,4.78,Rp,1558440,per night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,9
Authentic Balinese Cabin near Beach | sterilized,"South Kuta, Bali, Indonesia",1,1.0,Villa,Start from $790 USD per Month,https://www.bukitvista.com/property/authentic-balinese-cabin-near-beach-by-bukit-vista,Bukit Vista,"South Kuta, Bali, Indonesia",Bali,Bali,Uluwatu,Indonesia,4,4.85,USD,790,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,7
Villa Santorini untuk Digital Nomads oleh Bukit Vista,"54H9+X7G, Jl. Sari Sekapa, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",1,1.0,Villa,Start from Rp 4.500.000/Month,https://www.bukitvista.com/property/villa-santorini-untuk-digital-nomads-oleh-bukit-vista,Bukit Vista,"54H9+X7G, Jl. Sari Sekapa, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,Canggu,Indonesia,4,4.84,Rp,4500000,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,18
Family Holiday House w/ Private Pool in Jimbaran,"Alang Alang Residence Jimbaran, Jimbaran (Bali), Indonesia, 80361",5,5.0,Villa,"Start from $3,350 USD per Month",https://www.bukitvista.com/property/spacious-villa-with-swimming-pool-for-big-group,Bukit Vista,Alang Alang Residence Jimbaran,Bali,Bali,Jimbaran,Indonesia,10,4.84,USD,3350,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,4
4BR Homey Villa in Uluwatu | Kitchen + Wifi + Pool by Bukit Vista,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali 80361",4,4.0,Villa,"Start from $4,930 USD per Month",https://www.bukitvista.com/property/4br-homey-villa-in-uluwatu-kitchen-wifi-pool,Bukit Vista,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali",Bali,Bali,Uluwatu,Indonesia,4,4.84,USD,4930,per month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villa,25
Picturesque Cottage in the Heart of Ubud’s Nature,"Peliatan, Ubud, Gianyar, Bali. 80571",1,1.0,"Jungle View, Villa",Start from $890 USD per Month,https://www.bukitvista.com/property/ultimate-serene-cottage-with-ubud-jungle-vibe-by-bukit-vista,Bukit Vista,"Peliatan, Ubud, Gianyar, Bali.",Bali,Bali,Ubud,Indonesia,4,4.84,USD,890,per month,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Villa,14
